license_id,tw_product,form,ingredient
衛部藥輸字第026476號,Forxiga Film-coated Tablets 10mg,膜衣錠,Dapagliflozin propanediol monohydrate
衛部藥輸字第026477號,Deferasirox,（粉）,
衛部藥輸字第026478號,Warfarin Sodium Clathrate,（粉）,
衛部藥輸字第026485號,Azicine Capsules 250mg,膠囊劑,AZITHROMYCIN DIHYDRATE
衛部藥輸字第026485號,Azicine Capsules 250mg,膠囊劑,AZITHROMYCIN DIHYDRATE
衛部藥輸字第026487號,Ketesse 25mg,膜衣錠,Dexketoprofen trometamol
衛部藥輸字第026487號,Ketesse 25mg,膜衣錠,Dexketoprofen trometamol
衛部藥輸字第026499號,"Isosorbide Mononitrate, Diluted 80%",（粉）,
衛部藥輸字第026499號,"Isosorbide Mononitrate, Diluted 80%",（粉）,
衛部藥輸字第026500號,Incruse Ellipta 55 mcg Inhalation Powder,乾粉吸入劑,Umeclidinium bromide (micronised)
衛部藥輸字第026500號,Incruse Ellipta 55 mcg Inhalation Powder,乾粉吸入劑,Umeclidinium bromide (micronised)
衛部藥輸字第026501號,Ciclopirox Olamine,（粉）,
衛部藥輸字第026502號,Acarbose,（粉）,
衛部藥輸字第026503號,Telcard 40,錠劑,TELMISARTAN
衛部藥輸字第026506號,Ibufen Syrup,糖漿劑,IBUPROFEN
衛部藥輸字第026507號,Mosapride Citrate Dihydrate,（粉）,
衛部藥輸字第026508號,Please orally soluble film 50mg (Sildenafil),口溶膜,Sildenafil
衛部藥輸字第026509號,Quetiapine Fumarate,（粉）,
衛部藥輸字第027461號,Ezetimibe,（粉）,
衛部藥輸字第027462號,Efavirenz,原料藥粉末,
衛部藥輸字第027465號,YANCI 30,錠劑,ESTRADIOL ETHINYL (EQ TO ETHINYLOESTRADIOL)(EQ TO ETHINYLESTRADIOL);;DROSPIRENONE
衛部藥輸字第027466號,Mesalazine,（粉）,
衛部藥輸字第027466號,Mesalazine,（粉）,
衛部藥輸字第027467號,Qtern 5mg/10mg Film-Coated Tablets,膜衣錠,SAXAGLIPTIN;;Dapagliflozin propanediol monohydrate
衛部藥輸字第027467號,Qtern 5mg/10mg Film-Coated Tablets,膜衣錠,SAXAGLIPTIN;;Dapagliflozin propanediol monohydrate
衛部藥輸字第027468號,Gemtero (Gemcitabine for Injection),凍晶注射劑,GEMCITABINE HYDROCHLORIDE;;GEMCITABINE HYDROCHLORIDE
衛部藥輸字第027469號,"""IUAN"" Bendamustine Hydrochloride Lyophilized Powder for Solution for Injection",凍晶注射劑,BENDAMUSTINE HYDROCHLORIDE;;BENDAMUSTINE HYDROCHLORIDE
衛部藥輸字第027470號,Potassium Iodide,原料藥結晶性粉末,
衛部藥輸字第027470號,Potassium Iodide,原料藥結晶性粉末,
衛部藥輸字第027470號,Potassium Iodide,原料藥結晶性粉末,
衛部藥輸字第027471號,Amorolfine HCl,原料藥粉末,
衛部藥輸字第027480號,Povidone-Iodine,（粉）,
衛部藥輸字第027481號,Calcium Pantothenate,原料藥粉劑,
衛部藥輸字第027483號,Lacidipine,原料藥粉末,
衛部藥輸字第027484號,Esculin (e. q. Esculoside),原料藥粉末,
衛部藥輸字第027485號,Letrozole,（粉）,
衛部藥輸字第027487號,Famotidine,原料藥結晶性粉末,
衛部藥輸字第027493號,Cefuroxime Sodium,（粉）,
衛部藥輸字第027494號,ALEBURON TABLET,膜衣錠,GLYCYRRHIZINATE DIPOTASSIUM (EQ TO DIPOTASSIUM GLYCYRRHIZINATE);;RIBOFLAVIN (VIT B2);;PYRIDOXINE HYDROCHLORIDE;;DIPHENHYDRAMINE HCL;;OROTIC ACID (VIT B13)
衛部藥輸字第027495號,Verapamil Hydrochloride,（粉）,
衛部藥輸字第027495號,Verapamil Hydrochloride,（粉）,
衛部藥輸字第027497號,ROHTO Digi-eye Ophthalmic Liquids and Solutions,點眼液劑,TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;POTASSIUM L-ASPARTATE ;;NAPHAZOLINE HCL;;PYRIDOXINE HCL;;FLAVINEADENINE DINUCLEOTIDE SODIUM;;NEOSTIGMINE METHYLSULFATE
衛部藥輸字第027498號,Metformin Hydrochloride,（粉）,METFORMIN HCL (EQ TO METFORMIN HYDROCHLORIDE)
衛部藥輸字第027499號,"""Switzerland"" Imbruvica Capsules 140mg",膠囊劑,Ibrutinib
衛部藥輸字第027499號,"""Switzerland"" Imbruvica Capsules 140mg",膠囊劑,Ibrutinib
衛部藥輸字第027500號,MECOBALAMIN,（粉）,
衛部藥輸字第027501號,Magnesium Chloride,原料藥結晶性粉末,
衛部藥輸字第027502號,Rohto Gold 40 Ophthalmic Liquids and Solutions,點眼液劑,POTASSIUM L-ASPARTATE ;;D-ALPHA-TOCOPHEROL ACETATE;;NEOSTIGMINE METHYLSULFATE;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;PYRIDOXINE HYDROCHLORIDE;;CHLORPHENIRAMINE MALEATE
衛部藥輸字第027503號,Alzer 10 (Donepezil Hydrochloride Tablets USP 10mg),膜衣錠,DONEPEZIL HYDROCHLORIDE
衛部藥輸字第027512號,CABOMETYX film-coated tablet 40mg,膜衣錠,Cabozantinib (S)-malate
衛部藥輸字第027512號,CABOMETYX film-coated tablet 40mg,膜衣錠,Cabozantinib (S)-malate
衛部藥輸字第027512號,CABOMETYX film-coated tablet 40mg,膜衣錠,Cabozantinib (S)-malate
衛部藥輸字第027513號,CABOMETYX film-coated tablet 60mg,膜衣錠,Cabozantinib (S)-malate
衛部藥輸字第027513號,CABOMETYX film-coated tablet 60mg,膜衣錠,Cabozantinib (S)-malate
衛部藥輸字第027513號,CABOMETYX film-coated tablet 60mg,膜衣錠,Cabozantinib (S)-malate
衛部藥輸字第027523號,Hirudoid Forte Thrombi Cream,乳膏劑,HEPARINOID (SODIUM POLYANHYDROMANNURONIC ACID SULFATE)
衛部藥輸字第027524號,"Bevespi Aerosphere 7.2/5.0 micrograms Pressurised Inhalation, Suspension",口腔氣化噴霧劑,glycopyrronium;;FORMOTEROL FUMARATE DIHYDRATE
衛部藥輸字第027525號,Taxohope-N 20mg/ml concentrate for Solution for infusion,注射劑,DOCETAXEL ANHYDROUS
衛部藥輸字第027525號,Taxohope-N 20mg/ml concentrate for Solution for infusion,注射劑,DOCETAXEL ANHYDROUS
衛部藥輸字第027526號,Betamethasone Valerate,（粉）,
衛部藥輸字第027527號,Diclofenac Diethylamine,（粉）,
衛部藥輸字第027528號,Tadalafil,（粉）,
衛部藥輸字第027531號,Mebeverine Hydrochloride,（粉）,
衛部藥輸字第027532號,"Pemetrexed lyophilized powder for concentrate for solution for infusion ""CYH""",凍晶注射劑,PEMETREXED DISODIUM HEMIPENTAHYDRATE;;PEMETREXED DISODIUM HEMIPENTAHYDRATE
衛部藥輸字第027532號,"Pemetrexed lyophilized powder for concentrate for solution for infusion ""CYH""",凍晶注射劑,PEMETREXED DISODIUM HEMIPENTAHYDRATE;;PEMETREXED DISODIUM HEMIPENTAHYDRATE
衛部藥輸字第027536號,Ferric Hydroxide Polymaltose Complex,（粉）,
衛部藥輸字第027538號,Ursodeoxycholic Acid,（粉）,
衛部藥輸字第027539號,Atomoxetine Hydrochloride,（粉）,
衛部藥輸字第027540號,Fusidic acid,粉劑,
衛部藥輸字第028048號,"Enerzair breezhaler 150/50/80 mcg, inhalation powder hard capsule",吸入用膠囊劑,Glycopyrronium bromide;;MOMETASONE FUROATE;;Indacaterol acetate
衛部藥輸字第028048號,"Enerzair breezhaler 150/50/80 mcg, inhalation powder hard capsule",吸入用膠囊劑,Glycopyrronium bromide;;MOMETASONE FUROATE;;Indacaterol acetate
衛部藥輸字第028049號,"Enerzair breezhaler 150/50/160 mcg, inhalation powder hard capsule",吸入用膠囊劑,Glycopyrronium bromide;;Indacaterol acetate;;MOMETASONE FUROATE
衛部藥輸字第028049號,"Enerzair breezhaler 150/50/160 mcg, inhalation powder hard capsule",吸入用膠囊劑,Glycopyrronium bromide;;Indacaterol acetate;;MOMETASONE FUROATE
衛部藥輸字第028049號,"Enerzair breezhaler 150/50/160 mcg, inhalation powder hard capsule",吸入用膠囊劑,Glycopyrronium bromide;;Indacaterol acetate;;MOMETASONE FUROATE
衛部藥輸字第028050號,"Atectura breezhaler 150/160 mcg, inhalation powder hard capsule",吸入用膠囊劑,Indacaterol acetate;;MOMETASONE FUROATE
衛部藥輸字第028050號,"Atectura breezhaler 150/160 mcg, inhalation powder hard capsule",吸入用膠囊劑,Indacaterol acetate;;MOMETASONE FUROATE
衛部藥輸字第028050號,"Atectura breezhaler 150/160 mcg, inhalation powder hard capsule",吸入用膠囊劑,Indacaterol acetate;;MOMETASONE FUROATE
衛部藥輸字第028058號,Lysozyme Hydrochloride,（粉）,
衛部藥輸字第028059號,Flomoxef Sodium,粉劑,
衛部藥輸字第028060號,Dapoxetine Hydrochloride,（粉）,
衛部藥輸字第028061號,Equfina Tablets 50 mg,膜衣錠,Safinamide mesilate
衛部藥輸字第028061號,Equfina Tablets 50 mg,膜衣錠,Safinamide mesilate
衛部藥輸字第028062號,Rukobia 600mg prolonged-release tablets,持續性藥效錠,fostemsavir
衛部藥輸字第028062號,Rukobia 600mg prolonged-release tablets,持續性藥效錠,fostemsavir
衛部藥輸字第028062號,Rukobia 600mg prolonged-release tablets,持續性藥效錠,fostemsavir
衛部藥輸字第028063號,PEMAZYRE Tablets 4.5 mg,錠劑,pemigatinib
衛部藥輸字第028063號,PEMAZYRE Tablets 4.5 mg,錠劑,pemigatinib
衛部藥輸字第028071號,Alfentanil Hydrochloride,（粉）,
衛部藥輸字第028072號,Tibelia PL,錠劑,TIBOLONE
衛部藥輸字第028073號,Amiodarone Hydrochloride,（粉）,
衛部藥輸字第028074號,Pregabalin,（粉）,
衛部藥輸字第028075號,Mirabegron,粉劑,
衛部藥輸字第028077號,Ezgun,口溶錠,VARDENAFIL HYDROCHLORIDE TRIHYDRATE
衛部藥輸字第028085號,Tofacitinib Citrate,（粉）,
衛部藥輸字第028086號,pms-DULOXETINE Capsules 60mg,膠囊劑,DULOXETINE HYDROCHLORIDE
衛部藥輸字第028086號,pms-DULOXETINE Capsules 60mg,膠囊劑,DULOXETINE HYDROCHLORIDE
衛部藥輸字第028087號,pms-DULOXETINE Capsules 30mg,膠囊劑,DULOXETINE HYDROCHLORIDE
衛部藥輸字第028087號,pms-DULOXETINE Capsules 30mg,膠囊劑,DULOXETINE HYDROCHLORIDE
衛部藥輸字第028096號,Tabrecta 150mg Film Coated Tablets,膜衣錠,Capmatinib dihydrochloride monohydrate
衛部藥輸字第028096號,Tabrecta 150mg Film Coated Tablets,膜衣錠,Capmatinib dihydrochloride monohydrate
衛部藥輸字第028096號,Tabrecta 150mg Film Coated Tablets,膜衣錠,Capmatinib dihydrochloride monohydrate
衛部藥輸字第028097號,Tabrecta 200mg Film Coated Tablets,膜衣錠,Capmatinib dihydrochloride monohydrate
衛部藥輸字第028103號,Wakix 4.5mg film-coated tablets,膜衣錠,Pitolisant hydrochloride
衛部藥輸字第028103號,Wakix 4.5mg film-coated tablets,膜衣錠,Pitolisant hydrochloride
衛部藥輸字第028104號,Wakix 18mg film-coated tablets,膜衣錠,Pitolisant hydrochloride
衛部藥輸字第028104號,Wakix 18mg film-coated tablets,膜衣錠,Pitolisant hydrochloride
衛部藥輸字第028105號,Menthol,（粉）,
衛部藥輸字第028106號,Qinlock Tablet 50mg,錠劑,ripretinib
衛部藥輸字第028106號,Qinlock Tablet 50mg,錠劑,ripretinib
衛部藥輸字第028106號,Qinlock Tablet 50mg,錠劑,ripretinib
衛部藥輸字第028111號,Clopidogrel Bisulfate,（粉）,
衛部藥輸字第028112號,Alfentanil Hydrochloride,（粉）,
衛部藥輸字第028113號,Melitracen Hydrochloride,（粉）,
衛部藥輸字第028114號,Codeine Phosphate Hemihydrate,（粉）,
衛部藥輸字第028115號,ALGLUTOL 333 mg Delayed-Release Tablets,腸溶錠,acamprosate calcium
衛部藥輸字第028116號,Zyceva 150 (Erlotinib Tablets 150mg),膜衣錠,ERLOTINIB HYDROCHLORIDE
衛部藥輸字第028116號,Zyceva 150 (Erlotinib Tablets 150mg),膜衣錠,ERLOTINIB HYDROCHLORIDE
內衛藥製字第006511號,DEPOT HORMON-MF INJECTION,注射劑,TESTOSTERONE CYPIONATE ( CYCLOPENTYLPROPIONATE);;ESTRADIOL-17-CYCLOPENTYL PROPIONATE
內衛藥製字第006513號,VITACICOL INJECTION,注射劑,ASCORBIC ACID (VIT C)
內衛藥製字第006514號,DEXTROSE IN SALINE INJECTION,注射劑,WATER FOR INJECTION;;SODIUM CHLORIDE;;GLUCOSE MONOHYDRATE
內衛藥製字第006516號,STRONG VITA-B1 INJECTION,注射劑,THIAMINE HYDROCHLORIDE
內衛藥製字第006517號,TICANIN INJECTION,注射劑,METHIONINE DL-
內衛藥製字第006519號,VITATICANIN-T INJECTION,注射劑,THIAMINE (VITAMIN B1);;METHIONINE DL-;;NIACINAMIDE (NICOTINAMIDE);;RIBOFLAVIN (VIT B2)
內衛藥製字第006521號,SINSERPINE TABLETS 1MG,錠劑,RESERPINE
內衛藥製字第006523號,VITA-K INJECTION,注射劑,MENADIONE SODIUM BISULFITE
內衛藥製字第006715號,MISHICOPAL TROCHES,錠劑,CETYLPYRIDINIUM CHLORIDE
內衛藥製字第006725號,"TRIPELENNAMINE HCL TABLETS ""N.Y.""",錠劑,TRIPELENNAMINE HCL
內衛藥製字第006732號,COMYCIN INJECTION,乾粉注射劑,KANAMYCIN (SULFATE)
內衛藥製字第006733號,"NEOMYCIN SULFATE CAPSULES 250MG ""GCPC""",膠囊劑,NEOMYCIN (SULFATE)
內衛藥製字第006734號,PURE CALCIUM TABLETS,錠劑,CALCIUM PHOSPHATE DIBASIC;;CALCIUM GLUCONATE;;ERGOCALCIFEROL (VIT D2CALCIFEROL);;CALCIUM LACTATE
內衛藥製字第006737號,"1% PHENYLEPHRINE HYDROCHLORIDE SOLUTION ""N.Y.",外用液劑,PHENYLEPHRINE HCL
內衛藥製字第006766號,"CHLORTETRACYCLINE HCL CAPSULES 250MG ""LITA""",膠囊劑,CHLORTETRACYCLINE HCL
內衛藥製字第006864號,ORISERPINE INJECTION,注射劑,RESERPINE
內衛藥製字第006972號,ENHAUTIN LOZENGES,錠劑,DEQUALINIUM CHLORIDE
內衛藥製字第006977號,ANTASHIN TABLETS,錠劑,MAGALDRATE
內衛藥製字第007036號,"KEDO CAPSULES ""NANTO""",膠囊劑,NIACINAMIDE (NICOTINAMIDE);;GLYCYRRHIZINIC ACID (EQ TO GLYCYRRHETINIC ACID GLYCOSIDE)(EQ TO GLYCYRRHIZIC ACID );;METHIONINE DL-;;PYRIDOXINE HCL;;GLYCINE (EQ TO AMINOACETIC ACID)(EQ TO GLYCOCOLL)
內衛藥製字第007040號,"SEEN OINTMENT ""N.T.""",軟膏劑,ZINC OXIDE;;SULFADIAZINE
內衛藥製字第007159號,C.P.C. LOZENGES 2MG (CETYLPYRIDINIUM),口含錠,CETYLPYRIDINIUM CHLORIDE
內衛藥製字第007182號,"ANTICOUGH INJECTION ""LITA""",注射劑,DEXTROMETHORPHAN HBR
內衛藥製字第007189號,"DIPHYLLINE INJECTION ""LITA""",注射劑,DYPHYLLINE
內衛藥製字第007262號,RINGER'S SOLUTION,注射劑,POTASSIUM CHLORIDE;;SODIUM CHLORIDE;;CALCIUM CHLORIDE
內衛藥製字第007520號,QUINA TONLITA LIQUID,液劑,ETHANOL ( EQ TO ETHYL ALCOHOL) (EQ TO ALCOHOL);;THIAMINE MONONITRATE;;RIBOFLAVIN (VIT B2);;CINCHONA EXTRACT;;NIACINAMIDE (NICOTINAMIDE);;AMINO ACID
內衛藥製字第007521號,PANDON D/ORAL LIQUID,液劑,THIAMINE MONONITRATE;;INOSITOL (MESO-INOSITOL);;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;RIBOFLAVIN (VIT B2);;CARNITINE CHLORIDE;;PANTOTHENATE CALCIUM;;ASCORBIC ACID (VIT C)
內衛藥製字第007522號,"YUGULA Stomachic Powder ""Min Tong""",散劑,"TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;DEHYDROCHOLIC ACID;;BILE EXTRACT, OX;;MENTHOL;;SCOPOLIA EXTRACT;;CALCIUM CARBONATE;;SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE);;ALUMINUM HYDROXIDE GEL;;GLYCYRRHIZA EXTRACT"
內衛藥製字第007524號,GINSENG PARAUYE G LIQUID,口服液劑,Calcium Pantothenate;;CITRIC ACID;;THIAMINE MONONITRATE;;VITAMIN B2 (RIBOFLAVIN);;GINSENG EXTRACT;;NICOTINAMIDE;;PYRIDOXINE HCL
內衛藥製字第007648號,SOROSON,內服液劑,PYRIDOXINE HCL;;NIACINAMIDE (NICOTINAMIDE);;SODIUM PANTOTHENATE;;ASCORBIC ACID (VIT C)
內衛藥製字第007652號,CHEAPARA-T S.C. TABLETS,糖衣錠,TOCOPHEROL ACETATE ALPHA DL-;;BEZOAR ORIENTALE;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID);;ASCORBIC ACID (VIT C);;THIAMINE MONONITRATE;;GINSENG EXTRACT;;PANTOTHENATE CALCIUM;;VITAMIN A PALMITATE;;NIACIN (NICOTINIC ACID);;PYRIDOXINE HCL
內衛藥製字第007655號,NEO-WEIAN TABLETS,錠劑,MAGNESIUM ALUMINUM BISMUTH SILICATE
內衛藥製字第007656號,HISTACUR TABLETS,錠劑,BROMPHENIRAMINE MALEATE
內衛藥製字第007695號,"BENAZON OINTMENT ""HEALTH""",軟膏劑,BISMUTH SUBGALLATE;;DIPHENHYDRAMINE HCL;;BENZOCAINE (ETHYL AMINOBENZOATE);;ZINC OXIDE
內衛藥製字第007895號,COFUIN CAPSULES,膠囊劑,METHOXYPHENAMINE HCL;;DYPHYLLINE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;NOSCAPINE HCL;;CHLORPHENIRAMINE MALEATE
內衛藥製字第007896號,YINSOPINE SYRUP,糖漿劑,DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE;;CODEINE PHOSPHATE;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN)
內衛藥製字第007897號,"AMPICILLIN CAPSULES 250MG ""CHI SHENG""",膠囊劑,AMPICILLIN (TRIHYDRATE)
內衛藥製字第007931號,HATARY COUGH SYRUP,糖漿劑,CHLORPHENIRAMINE MALEATE;;PHENYLEPHRINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;SODIUM CITRATE (SODIUM CITRATE TRIBASIC);;DEXTROMETHORPHAN HBR
內衛藥製字第007969號,"HORVAPIN TROCHES ""N.C.P.""",口含錠,DEQUALINIUM CHLORIDE
內衛藥製字第008029號,METHACID CAPSULES,膠囊劑,INDOMETHACIN (eq to Indometacin)
內衛藥製字第008170號,DELTALONE TABLETS,錠劑,PREDNISOLONE
內衛藥製字第008220號,FLUCALCIUM TABLETS,錠劑,CYANOCOBALAMIN (VIT B12);;CALCIUM PHOSPHATE TRIBASIC (CALCIUM PHOSPHATE);;CALCIUM GLUCONATE;;CALCIUM FLUORIDE;;ERGOCALCIFEROL (VIT D2CALCIFEROL)
內衛藥製字第008221號,HAISAN TABLETS,錠劑,KAINIC ACID;;SANTONIN
內衛藥製字第008234號,ERYMYCIN DRY SYRUP,糖漿用粉劑,ERYTHROMYCIN (ESTOLATE)
內衛藥製字第008298號,CHLORAMPHENICOL OINTMENT,軟膏劑,CHLORAMPHENICOL
內衛藥製字第008387號,METHODEX G INJECTION,注射劑,DEXTROMETHORPHAN HBR;;DL-METHYLEPHEDRINE HCL;;GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN);;CHLORPHENIRAMINE MALEATE
內衛藥製字第008389號,METHIVITAN-S INJECTION,注射劑,RIBOFLAVIN (VIT B2);;THIAMINE HYDROCHLORIDE;;PANTOTHENATE CALCIUM;;NIACINAMIDE (NICOTINAMIDE);;PYRIDOXINE HCL;;METHIONINE DL-
內衛藥製字第008548號,ANTI-ASTHMA TABLETS,錠劑,DL-METHYLEPHEDRINE HCL;;CHLORPHENIRAMINE MALEATE;;DYPHYLLINE;;PHENOBARBITAL
內衛藥製字第008661號,"UNGUENTUM ZINCI OXIDI ""Sentai""",軟膏劑,ZINC OXIDE
內衛藥製字第008737號,UNDECYL OINTMENT (STRONG ANTIMYCOTIC OINTMENT),軟膏劑,UNDECYLENATE ZINC;;UNDECYLENIC ACID
內衛藥製字第008792號,"METHICOSE INJECTION ""T.F.""",注射劑,NIACINAMIDE (NICOTINAMIDE);;THIAMINE (VITAMIN B1);;RIBOFLAVIN PHOSPHATE SODIUM;;METHIONINE DL-;;TAURINE (EQ TO 2-AMINOETHANE SULFONIC ACID)
內衛藥製字第008799號,"DEXAMESONE INJECTION 1MG/ML ""T.F.""",注射劑,DEXAMETHASONE SODIUM PHOSPHATE
內衛藥製字第008800號,"DEXAMESONE INJECTION 4MG/ML ""T.F.""",注射劑,DEXAMETHASONE PHOSPHATE (SODIUM)
內衛藥製字第008852號,"THIOCCAN INJECTION ""N.K.""",注射劑,THIOCTIC ACID (VIT B14ALPHA-LIPOIC ACID)
衛部菌疫輸字第001065號,Herceptin solution for injection,注射液劑,TRASTUZUMAB
衛部菌疫輸字第001067號,Ilaris 150mg/mL solution for injection,注射劑,Canakinumab
衛部菌疫輸字第001067號,Ilaris 150mg/mL solution for injection,注射劑,Canakinumab
衛部菌疫輸字第001067號,Ilaris 150mg/mL solution for injection,注射劑,Canakinumab
衛部菌疫輸字第001089號,Ogivri 440 mg,凍晶注射劑,TRASTUZUMAB
衛部菌疫輸字第001092號,Pergoveris (450 IU + 225 IU)/0.72 mL solution for injection in pre-filled pen,注射液劑,Lutropin alfa (r-hLH);;FOLLITROPIN ALFA(r-hFSH)
衛部菌疫輸字第001093號,Pergoveris (900 IU + 450 IU)/1.44 mL solution for injection in pre-filled pen,注射液劑,FOLLITROPIN ALFA(r-hFSH);;Lutropin alfa (r-hLH)
衛部菌疫輸字第001093號,Pergoveris (900 IU + 450 IU)/1.44 mL solution for injection in pre-filled pen,注射液劑,FOLLITROPIN ALFA(r-hFSH);;Lutropin alfa (r-hLH)
衛部菌疫輸字第001093號,Pergoveris (900 IU + 450 IU)/1.44 mL solution for injection in pre-filled pen,注射液劑,FOLLITROPIN ALFA(r-hFSH);;Lutropin alfa (r-hLH)
衛部菌疫輸字第001094號,Truxima,注射劑,Rituximab;;Rituximab
衛部菌疫輸字第001094號,Truxima,注射劑,Rituximab;;Rituximab
衛部菌疫輸字第001113號,EMGALITY injection,注射液劑,galcanezumab
衛部菌疫輸字第001114號,Humira 80 mg Solution for Injection,注射液劑,ADALIMUMAB
衛部菌疫輸字第001114號,Humira 80 mg Solution for Injection,注射液劑,ADALIMUMAB
衛部菌疫輸字第001117號,MVASI Solution for Injection,注射液劑,BEVACIZUMAB
衛部菌疫輸字第001117號,MVASI Solution for Injection,注射液劑,BEVACIZUMAB
衛部菌疫輸字第001117號,MVASI Solution for Injection,注射液劑,BEVACIZUMAB
衛部菌疫輸字第001118號,Rixathon Concentrate for Solution for Infusion,注射液劑,Rituximab
衛部菌疫輸字第001118號,Rixathon Concentrate for Solution for Infusion,注射液劑,Rituximab
衛部菌疫輸字第001119號,Jivi 250 IU,凍晶乾燥注射劑,Damoctocog alfa pegol
衛部菌疫輸字第001119號,Jivi 250 IU,凍晶乾燥注射劑,Damoctocog alfa pegol
衛部菌疫輸字第001119號,Jivi 250 IU,凍晶乾燥注射劑,Damoctocog alfa pegol
衛部菌疫輸字第001119號,Jivi 250 IU,凍晶乾燥注射劑,Damoctocog alfa pegol
衛部菌疫輸字第001120號,Jivi 500 IU,凍晶乾燥注射劑,Damoctocog alfa pegol
衛部菌疫輸字第001120號,Jivi 500 IU,凍晶乾燥注射劑,Damoctocog alfa pegol
衛部菌疫輸字第001126號,FLUCELVAX QUAD,懸浮注射劑,B/AUSTRIA/1359417/2021 - LIKE VIRUS (B/SINGAPORE/WUH4618/2021);;A/Massachusetts/18/2022 (H3N2)-like virus (A/Sydney/1304/2022);;A/WISCONSIN/67/2022 (H1N1) PDM09 - LIKE VIRUS (A/GEORGIA/12/2022 CVR-167);;B/Singapore/INFTT-16-0610/2016 (a B/Phuket/3073/2013-like virus)
衛部菌疫輸字第001126號,FLUCELVAX QUAD,懸浮注射劑,B/AUSTRIA/1359417/2021 - LIKE VIRUS (B/SINGAPORE/WUH4618/2021);;A/Massachusetts/18/2022 (H3N2)-like virus (A/Sydney/1304/2022);;A/WISCONSIN/67/2022 (H1N1) PDM09 - LIKE VIRUS (A/GEORGIA/12/2022 CVR-167);;B/Singapore/INFTT-16-0610/2016 (a B/Phuket/3073/2013-like virus)
衛部菌疫輸字第001129號,Refixia powder and solvent for solution for injection 500 IU,凍晶注射劑,Nonacog beta pegol
衛部菌疫輸字第001129號,Refixia powder and solvent for solution for injection 500 IU,凍晶注射劑,Nonacog beta pegol
衛部菌疫輸字第001129號,Refixia powder and solvent for solution for injection 500 IU,凍晶注射劑,Nonacog beta pegol
衛部菌疫輸字第001129號,Refixia powder and solvent for solution for injection 500 IU,凍晶注射劑,Nonacog beta pegol
衛部菌疫輸字第001130號,Refixia powder and solvent for solution for injection 1000 IU,凍晶注射劑,Nonacog beta pegol
衛部藥陸輸字第000798號,Theophylline,（粉）,
衛部藥陸輸字第000799號,Acetaminophen,（粉）,
衛部藥陸輸字第000800號,Pyridoxine Hydrochloride,原料藥結晶性粉末,
衛部藥陸輸字第000801號,Piracetam,（粉）,
衛部藥陸輸字第000803號,Irbesartan,（粉）,
衛部藥陸輸字第000804號,Spironolactone,（粉）,
衛部藥陸輸字第000805號,CEFACLOR,（粉）,
衛部藥陸輸字第000806號,Methionine,原料藥結晶性粉末,
衛部藥陸輸字第000811號,Benzocaine,（粉）,
衛部藥陸輸字第000812號,"Ginkgo Dry Extract, Refined and Quantified",（粉）,
衛部藥陸輸字第000813號,Theophylline,（粉）,
衛部藥陸輸字第000815號,Cimetidine,（粉）,
衛部藥陸輸字第000817號,Amisulpride,（粉）,
衛部藥陸輸字第000819號,Clindamycin Hydrochloride,（粉）,
衛部藥陸輸字第000821號,Ginkgo Dry Extract,（粉）,
衛部藥陸輸字第000823號,Oxaliplatin,（粉）,
衛部藥陸輸字第000824號,Methylprednisolone,（粉）,
衛部藥陸輸字第000824號,Methylprednisolone,（粉）,
衛部藥陸輸字第000826號,Clozapine,（粉）,
衛部藥陸輸字第000827號,Benzocaine,（粉）,
衛部藥陸輸字第000828號,Ketoprofen,（粉）,
衛部藥陸輸字第000829號,penciclovir,原料藥粉末,
衛部藥陸輸字第000830號,Flavoxate Hydrochloride,原料藥結晶性粉末,
衛部藥陸輸字第000831號,Glutathione,（粉）,
衛部藥陸輸字第000832號,Clindamycin Phosphate,（粉）,
衛部藥陸輸字第000832號,Clindamycin Phosphate,（粉）,
衛部藥陸輸字第000833號,Celecoxib,粉劑,
衛部藥陸輸字第000840號,Nemonoxacin Malate,原料藥粉末,
衛部藥陸輸字第000840號,Nemonoxacin Malate,原料藥粉末,
衛部藥陸輸字第000841號,Silymarin,（粉）,
衛部藥陸輸字第000846號,Valacyclovir Hydrochloride,（粉）,
衛部藥陸輸字第000847號,Carbidopa,（粉）,
衛部藥陸輸字第000848號,Candesartan Cilexetil,粉劑,
衛部藥陸輸字第000849號,Aceclofenac,粉劑,
衛部藥陸輸字第000858號,Clindamycin Hydrochloride,（粉）,
衛部藥陸輸字第000859號,Atropine Sulfate,（粉）,
衛部藥陸輸字第000860號,Candesartan Cilexetil,（粉）,
衛部藥陸輸字第000861號,Montelukast Sodium,（粉）,
